District,Code,State,Trump2016,Clinton2016,Obama2012,Romney2012,Obama2008,McCain2008,raw16PVI,raw12PVI,raw08PVI,raw16PVIuse,raw12PVIuse,raw08PVIuse,Trump2016vote,Clinton2016vote
Colorado 2nd,CO-02,Colorado,34.947422916649,56.2105884050345,57.9162241405917,39.5085010393689,62.2185306881133,37.7814693118867,10.5,7.5,8.5,-10.5,-7.5,-8.5,164710,264925
Colorado 3rd,CO-03,Colorado,51.9561159776868,40.0494729251066,45.7724587691491,51.7976790626876,49.2671810919091,50.7328189080909,-7.6,-5.1,-4.4,7.6,5.1,4.4,195966,151057
Colorado 4th,CO-04,Colorado,57.4208658940768,34.2565956484012,39.2221469541319,58.5005121250073,42.664676188131,57.335323811869,-13.7,-11.8,-11,13.7,11.8,11,230945,137779
Colorado 5th,CO-05,Colorado,57.1664904734621,33.2233134544359,38.3033115824298,59.1169506668279,40.3154216340716,59.6845783659284,-14.4,-12.6,-13.4,14.4,12.6,13.4,212517,123508
Colorado 6th,CO-06,Colorado,41.2879235812737,50.2195593046632,51.5576866060649,46.5000618938671,54.4182763467207,45.5817236532793,3.8,.6,.7,-3.8,-.6,-.7,157115,191103
Colorado 7th,CO-07,Colorado,39.412358254853,51.4225233305572,56.0916780978509,41.2605738454504,58.4918126795943,41.5081873204057,5.5,5.7,4.8,-5.5,-5.7,-4.8,147645,192637
Connecticut 1st,CT-01,Connecticut,36.3152195733239,59.4040282990747,63.2953746307425,35.5853802574171,66.625211436802,33.374788563198,10.9,12,12.9,-10.9,-12,-12.9,119395,195305
Connecticut 2nd,CT-02,Connecticut,45.7729532395424,48.6559376448975,55.8864542773233,42.568628870555,59.4256322842694,40.5743677157306,.4,4.8,5.7,-.4,-4.8,-5.7,155975,165799
Connecticut 3rd,CT-03,Connecticut,40.3831753340977,55.8767326317359,62.596852031681,36.2931898865517,63.3966811092936,36.6033188907064,6.9,11.3,9.7,-6.9,-11.3,-9.7,129968,179832
Connecticut 4th,CT-04,Connecticut,36.5559814502221,59.5658718212786,55.0733430796444,44.0241255160192,59.9952113534457,40.0047886465544,10.9,3.6,6.3,-10.9,-3.6,-6.3,119976,195494
Connecticut 5th,CT-05,Connecticut,45.8270976057905,49.9298190167226,53.5260589231775,45.3082883275403,57.06127256722,42.93872743278,1,2.2,3.4,-1,-2.2,-3.4,147901,161142
D.C. At-Large,DC-01,DC,4.09,90.89,90.91,7.28,92.46,6.53,43,41,40,-43,-41,-40,12723,282830
Delaware At-Large,DE-01,Delaware,41.9228243393193,53.3533368056342,58.6107419845853,39.9826040735461,62.6381386498886,37.3618613501114,4.9,7.5,8.9,-4.9,-7.5,-8.9,185127,235603
Florida 1st,FL-01,Florida,67.5109181794265,28.167061299658,30.5383588520553,69.4616411479447,32.3761414848948,67.6238585151052,-21.7,-21.4,-21.3,21.7,21.4,21.3,256609,107063
Florida 2nd,FL-02,Florida,66.2043454252454,30.606173298624,34.5056390196025,65.4943609803975,35.7097235616519,64.2902764383481,-19.5,-17.5,-18,19.5,17.5,18,234991,108636
Florida 3rd,FL-03,Florida,56.1514751711744,40.195286731421,42.5305147938017,57.4694852061983,44.7267563896277,55.2732436103723,-9.4,-9.4,-9,9.4,9.4,9,197478,141362
Florida 4th,FL-04,Florida,62.100289835823,34.0770555336821,33.1664441173575,66.8335558826425,35.1572662455638,64.8427337544362,-15.7,-18.8,-18.5,15.7,18.8,18.5,261826,143675
Florida 5th,FL-05,Florida,35.8546612790038,61.2661862204434,64.2179516473357,35.7820483526643,63.7647951228873,36.2352048771127,12,12.3,10.1,-12,-12.3,-10.1,111892,191194
Florida 6th,FL-06,Florida,56.8559046244905,39.8766205727165,47.1336245471634,52.8663754528366,50.6826903958458,49.3173096041542,-9.9,-4.8,-3,9.9,4.8,3,215941,151453
Florida 7th,FL-07,Florida,44.1035722742617,51.3946022148431,50.021835811703,49.978164188297,51.5536634072254,48.4463365927746,2.7,-1.9,-2.1,-2.7,1.9,2.1,160178,186658
Florida 8th,FL-08,Florida,58.383074859857,37.6730171605156,42.6316512002415,57.3683487997585,44.4072229091527,55.5927770908473,-11.9,-9.3,-9.3,11.9,9.3,9.3,234648,151412
Florida 9th,FL-09,Florida,41.8904440019073,54.7970717751662,56.1706747299294,43.8293252700706,55.1148651698247,44.8851348301753,5.6,4.2,1.4,-5.6,-4.2,-1.4,149352,195368
Florida 10th,FL-10,Florida,34.8726755404596,61.7640069579324,61.2489106131608,38.7510893868392,61.2694891280245,38.7305108719755,12.8,9.3,7.6,-12.8,-9.3,-7.6,110062,194934
Florida 11th,FL-11,Florida,64.7827969965791,32.4692577579453,40.1916292275517,59.8083707724483,43.173454558265,56.826545441735,-17.7,-11.8,-10.5,17.7,11.8,10.5,266256,133448
Florida 12th,FL-12,Florida,57.4426131239861,38.8474512103103,46.1719497709698,53.8280502290302,48.0446036789111,51.9553963210889,-10.8,-5.8,-5.6,10.8,5.8,5.6,218487,147759
Florida 13th,FL-13,Florida,46.38762612263,49.5875374210001,55.4272424223655,44.5727575776345,56.3081807847993,43.6918192152007,.6,3.5,2.6,-.6,-3.5,-2.6,167348,178892
Florida 14th,FL-14,Florida,38.9782497510842,57.1583346699634,58.2623976148027,41.7376023851973,58.7230813485354,41.2769186514646,8.3,6.3,5,-8.3,-6.3,-5,128797,188870
Florida 15th,FL-15,Florida,53.1017762870757,43.1142718777465,47.1860138716115,52.8139861283885,47.2566144520152,52.7433855479848,-6.3,-4.8,-6.4,6.3,4.8,6.4,177635,144225
Florida 16th,FL-16,Florida,53.7467837008924,42.9533753184798,45.640722404081,54.359277595919,48.2112089342225,51.7887910657776,-6.7,-6.3,-5.5,6.7,6.3,5.5,213271,170442
Florida 17th,FL-17,Florida,62.2153896586513,35.0191176761497,41.7696071672546,58.2303928327454,44.5258063447149,55.4741936552851,-15.1,-10.2,-9.2,15.1,10.2,9.2,220156,123919
Florida 18th,FL-18,Florida,53.2770855012367,44.0704466185937,48.1326984293489,51.8673015706511,51.6903959482005,48.3096040517995,-5.8,-3.8,-2,5.8,3.8,2,203771,168558
Florida 19th,FL-19,Florida,59.5808037611699,37.5175124226699,39.0134105809477,60.9865894190523,42.7018295630193,57.2981704369807,-12.5,-13,-11,12.5,13,11,227097,143001
Florida 20th,FL-20,Florida,18.0917624328713,80.1894664676899,82.8330240749729,17.1669759250271,81.3026603622871,18.6973396377129,30.5,30.9,27.6,-30.5,-30.9,-27.6,52251,231596
Florida 21st,FL-21,Florida,39.0973124685421,58.6471061619002,60.8235556238074,39.1764443761926,63.8364965132564,36.1635034867436,8.9,8.9,10.1,-8.9,-8.9,-10.1,137490,206239
Florida 22nd,FL-22,Florida,41.019742932322,56.7644369140658,56.6754462219278,43.3245537780722,58.6803994943365,41.3196005056635,6.9,4.7,5,-6.9,-4.7,-5,146228,202355
Florida 23rd,FL-23,Florida,35.8121510323226,61.8976144377143,61.780926171277,38.219073828723,62.4014003986032,37.5985996013968,12.2,9.8,8.7,-12.2,-9.8,-8.7,120967,209079
Florida 24th,FL-24,Florida,15.286706484901,82.9891031778598,86.0634733374747,13.9365266625253,84.3370994874101,15.6629005125899,33.3,34.1,30.6,-33.3,-34.1,-30.6,40234,218424
Florida 25th,FL-25,Florida,49.6437153507029,47.9468695010501,45.1666991977424,54.8333008022576,40.8483115241003,59.1516884758997,-2,-6.8,-12.8,2,6.8,12.8,131186,126702
Florida 26th,FL-26,Florida,40.5742181326497,56.7387219695506,55.7991154557227,44.2008845442773,51.8334786981803,48.1665213018197,7.2,3.8,-1.9,-7.2,-3.8,1.9,115529,161555
Florida 27th,FL-27,Florida,38.86693190412,58.5782395686055,53.3550673318455,46.6449326681545,50.4024428531752,49.5975571468248,9,1.4,-3.3,-9,-1.4,3.3,118206,178154
Georgia 1st,GA-01,Georgia,56.3850308641975,40.8765135327635,43.0328485755892,55.9143730967244,44.6897917051827,55.3102082948173,-9.1,-8.5,-9,9.1,8.5,9,151996,110190
Georgia 2nd,GA-02,Georgia,43.2727536547321,54.9993349536281,58.5906452950698,40.8016856240592,58.1780638801556,41.8219361198444,4.9,7,4.5,-4.9,-7,-4.5,107361,136455
